source,line,alarm_key,message,classification,alarm_occurrences,alarm_occurrences_linked_to_stop,alarm_occurrence_stop_association_pct,attributed_zone_stops,attributed_zone_stop_minutes,average_zone_stop_minutes,same_zone_pct,average_alarm_to_stop_seconds,average_confidence_score
3GT,TAM09,P6_Z04B_Wrn_HE_PEL_Delta,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,ROOT_CAUSE_CANDIDATE,22249,636,2.859,852,16491,19.36,18.78,19.84,2.14
3GT,TAM17,P0_PSS_COM_TOUT,PLC0: Communication time out with PSS1,STOP_ALARM_CANDIDATE,10413,364,3.496,638,15251,23.9,0,60.61,2
3GT,TAM02,P1_30PS_ERROR,Z3  : 30PS Air pressure low,ROOT_CAUSE_CANDIDATE,2156,226,10.482,445,14508,32.6,40.22,69.97,2.15
3GT,TAM23,L23_P4_Z08_Warning.Camera3_InspectNG,Z08 : Camera3 Inspection failure,WARNING,5463,268,4.906,447,13371,29.91,0,55.31,1
3GT,TAM06,P0_PCE_DOOR_OPN,Z2B : Precure Enclosure door opened,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,503,108,21.471,271,10283,37.94,14.76,71.75,3
FLEX,TAM25,[00G3_K042]Program:UN01_Standard.ALMD_0110_B010GLS,FC/BC IMM Door Open 0110+MA-B010GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,660,129,19.545,243,8091,33.3,0,81.44,3
3GT,TAM21,L21_P2_Z04B_Warning.Z04C_Stopped,Z04B : Zone04C is not running,STOP_ALARM_CANDIDATE|WARNING|CASCADE_SYMPTOM_CANDIDATE,1822,184,10.099,309,7463,24.15,19.74,77.75,1.91
3GT,TAM18,P0_Z2_216SRV_GrdOpen,Z02B: 216SRV Guard Open,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,692,166,23.988,352,7330,20.82,13.35,80.55,3
3GT,TAM18,P2_ALI3_NOT_RDY,Z5B: ALI System not ready,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,593,304,51.265,592,6838,11.55,26.01,67.29,2.69
3GT,TAM05,P6_Z04B_Wrn_HE_PEL_Delta,Z04B : Hydration Enclosure delta between 4004PEL and 4005PEL,CASCADE_SYMPTOM_CANDIDATE,30492,234,0.767,283,6816,24.08,25.8,16.81,1.25
3GT,TAM23,L23_ST_Z07_Alarms.Z8Stop,Zone 8 Stop,ROOT_CAUSE_CANDIDATE,1970,164,8.325,246,6543,26.6,0,75.24,1.72
3GT,TAM09,P6_Z04B_Wrn_VE_LEL_Delta,Z04B : Vapor Enclosure delta between 4000LEL and 4001LEL,ROOT_CAUSE_CANDIDATE,11729,306,2.609,427,6329,14.82,18.97,16.57,2.15
3GT,TAM07,P0_RBT_GNRL_ERR,Z2A : Mitsubishi robot error (Check Robot controler),ROOT_CAUSE_CANDIDATE|LONG_DURATION,251,62,24.701,132,6153,46.61,37.12,56.18,2.24
3GT,TAM01,P2_SEAL_PRES_ERR,Z5B : DI removal seal pressure out of range,ROOT_CAUSE_CANDIDATE|LONG_DURATION,602,107,17.774,199,6119,30.75,14.07,23.48,1.93
3GT,TAM06,P7_PIT1_VAC_FLT,Z5B : PIT Left Side Vacuum Fail,ROOT_CAUSE_CANDIDATE|LONG_DURATION,4725,147,3.111,252,5464,21.68,26.59,96.81,1.92
3GT,TAM20,PSS1_FB_ERR3_1,PSS1: 1CMS1CR Feedback Error,ROOT_CAUSE_CANDIDATE,2048,288,14.062,436,5330,12.22,0,53.5,1.84
3GT,TAM02,P0_PCE_DOOR_OPN,Z2B : Precure Enclosure door opened,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,296,114,38.514,281,5076,18.06,17.08,66.61,3
FLEX,TAM29,[00G3_K022]Program:EM05G4_Operator_Interface.ALMD_S001PBL_Actuated,EM05G4 S001PBL Zone Stop,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,1319,114,8.643,246,4689,19.06,0,70.62,2.81
3GT,TAM23,L23_P4_0861PHS.Alarm1,Z08 : 861PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE,646,124,19.195,188,4620,24.57,0,111.88,2
3GT,TAM20,P0_RBT_GNRL_ERR,Z2A : Mitsubishi robot general error,ROOT_CAUSE_CANDIDATE,423,140,33.097,280,3775,13.48,35.36,64,2.18
FLEX,TAM25,[00G3_K022]Program:EM05G4_Operator_Interface.ALMD_S001PBL_Actuated,EM05G4 S001PBL Zone Stop,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,664,70,10.542,149,3750,25.17,0,70.16,2.8
3GT,TAM18,P0_RBT_GNRL_ERR,Z2A : Mitsubishi robot error (Check Robot controler),ROOT_CAUSE_CANDIDATE,597,163,27.303,281,3638,12.95,46.26,44.45,2.4
3GT,TAM23,L23_ST_Z07_Alarms.Z6Stop,Zone 6 Stop,UNCLASSIFIED,355,102,28.732,143,3560,24.9,25.87,106.5,1.26
FLEX,TAM28,[09G3_K002]Program:EM0913_Slider_B.ALMD_IMM_B_Not_Running,EM0911 IMM (B) Alarm: IMM (B) Not Running Error,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE|LONG_DURATION,204,30,14.706,85,3536,41.6,0,92.19,2.75
3GT,TAM20,P0_PCE_DOOR_OPN,Z2B : Precure Enclosure door opened,DOOR_OR_GUARD|POSSIBLE_OPERATOR_ACCESS_LEGACY|STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,96,37,38.542,101,3531,34.96,6.93,91.41,3
FLEX,TAM29,[00G3_K042]Program:UN01_Standard.ALMD_0110_B010GLS,FC/BC IMM Door Open 0110+MA-B010GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,411,68,16.545,123,3522,28.63,0,71.3,3
FLEX,TAM24,[00G3_K022]Program:EM05G4_Operator_Interface.ALMD_S002PBL_Actuated,EM05G4 S002PBL Zone Stop,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,777,196,25.225,335,3493,10.43,0,51.82,2.93
