AlarmSeq,AlarmId,AlarmType,Line,Zone,TagName,Priority,Comment,OriginationTime,ReturnTime,AlarmTime,DateInserted,DurationMinutes
119069723,14384132,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-27 14:32:35.467,2026-08-27 14:32:41.463,6,2026-08-27 14:33:07.300,0.09993333333333335
119069760,16066496,DSC   ,VISUS3GTHMI07,Zone04B,P6_4003SRV_ERR_7,1,Z4B : 4003SRV Lag error,2026-08-27 14:32:32.073,2026-08-27 14:32:48.957,16,2026-08-27 14:33:07.423,0.2814
119069898,20098426,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-27 14:32:31.720,2026-08-27 14:32:34.720,3,2026-08-27 14:33:07.627,0.05
119069826,14289195,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-27 14:32:31.000,2026-08-27 14:32:33.000,2,2026-08-27 14:33:07.550,0.03333333333333333
119069825,14289194,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-27 14:32:30.390,2026-08-27 14:32:33.407,3,2026-08-27 14:33:07.550,0.05028333333333333
119069956,81949562,DSC   ,VISUS3GTHMI18,Ru_Zone05C,P7_Foil_WebGuide_Z05C_RunAlm_2,1,Z05C: Web Guide - Upstream misalignment detected,2026-08-27 14:32:30.233,2026-08-27 14:33:40.467,70,2026-08-27 14:36:07.500,1.1705666666666665
119069896,20098425,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-27 14:32:29.720,2026-08-27 14:32:32.720,3,2026-08-27 14:33:07.627,0.05
119069897,20098424,DSC   ,VISUS3GTHMI22,L22_P4_Z08_Alarms,L22_P4_Z08_Warning.Camera3_InspectNG,300,Z08 : Camera3 Inspection failure,2026-08-27 14:32:29.407,2026-08-27 14:32:33.423,4,2026-08-27 14:33:07.627,0.06693333333333333
119069895,20098423,DSC   ,VISUS3GTHMI22,L22_P1_Z03_Alarms,L22_P1_Z03_Warning.Demold_High_Temp,300,Z03 : Demold power out of range,2026-08-27 14:32:27.720,2026-08-27 14:32:28.720,1,2026-08-27 14:33:07.627,0.016666666666666666
119069721,14384130,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-27 14:32:27.473,2026-08-27 14:32:31.460,4,2026-08-27 14:33:07.300,0.06645
119069894,20098421,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacRelease_High,300,Z05B : LensTransfer Release Level High,2026-08-27 14:32:26.080,2026-08-27 14:32:27.063,1,2026-08-27 14:33:07.627,0.016383333333333333
119069724,14384127,DSC   ,VISUS3GTHMI01,Zone04,P1_SHINGLE_DET1,1,Z4  : FC shingle detect at 411PHS_1,2026-08-27 14:32:24.783,2026-08-27 14:32:44.713,20,2026-08-27 14:33:07.300,0.33216666666666667
119069722,14384126,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_2,1,Z05C: Web Guide - Upstream misalignment detected,2026-08-27 14:32:24.470,2026-08-27 14:32:34.463,10,2026-08-27 14:33:07.300,0.16655
119069780,81949550,DSC   ,VISUS3GTHMI18,Wa_Zone02B,BC_Returnpallet_Sequence,500,Z2B: BC Loop: Excess Pallet detected.,2026-08-27 14:32:24.127,2026-08-27 14:32:27.130,3,2026-08-27 14:33:07.503,0.050050000000000004
119069893,20098420,DSC   ,VISUS3GTHMI22,L22_P3_Z05B_Alarms,L22_P3_Z05B_Warning.518VacPickUP_Low,300,Z05B : LensTransfer PickUP Vacuum Level Low,2026-08-27 14:32:24.080,2026-08-27 14:32:25.063,1,2026-08-27 14:33:07.627,0.016383333333333333
119069892,20098419,DSC   ,VISUS3GTHMI22,L22_P1_Z02B_Alarms,L22_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-27 14:32:21.720,2026-08-27 14:32:24.720,3,2026-08-27 14:33:07.627,0.05
119069759,16066492,DSC   ,VISUS3GTHMI07,Zone04B,P6_4005CL_ERR_2,1,Z4B : 4005CL Fail to Retract,2026-08-27 14:32:21.393,2026-08-27 14:32:48.957,27,2026-08-27 14:33:07.423,0.4594
119069824,14289193,DSC   ,VISUS3GTHMI21,L21_P3_Z05B_Alarms,L21_P3_Z05B_Warning.DI_Inret_Blow_Press_NoinRange,300,Z05B : DI inlet blow pressure not inrange (522PS),2026-08-27 14:32:20.983,2026-08-27 14:32:22.983,2,2026-08-27 14:33:07.550,0.03333333333333333
119069823,14289192,DSC   ,VISUS3GTHMI21,L21_P1_Z02B_Alarms,L21_P1_Z02B_Warning.CoolingAirFlowLow,300,Z02B : FC cooling air flow low,2026-08-27 14:32:20.407,2026-08-27 14:32:23.407,3,2026-08-27 14:33:07.550,0.05
119069720,14384121,DSC   ,VISUS3GTHMI01,Ru_Zone05C,P17_Foil_WebGuide_Z05C_RunAlm_12,1,Z05C: Web Guide Sensor 1 - Z05C: Web moving in and out of view,2026-08-27 14:32:19.473,2026-08-27 14:32:22.463,3,2026-08-27 14:33:07.300,0.049833333333333334
