AlarmSeq,EventID,EventAssociationID,SourceName,LoggingNode,Severity,Priority,Message,AlarmStartTimeStamp,AlarmStartDate,AlarmStartTime,AlarmEndTimeStamp,AlarmEndDate,AlarmEndTime,AlarmDuratioInMilliSeconds,Acked,DurationMinutes
281069876,8F9C6EDD-4053-404F-B1F8-0BE3E1A0B53C,0AEE18AA-6C6D-4DEA-81E9-4EDCD07ADBF9,[00G3_K022]Program:EM05G7_Control_Circuit_General.ALMD_EM05G7_M001SV_Not_Ready,VISUS3GTHMIS28,740,3,EM05G7 Zone5B M001SV Air Not Ready,2026-08-28 17:45:23.527,2026-08-28,17:45:23.5260000,2026-08-28 17:45:37.200,2026-08-28,17:45:37.2010000,14,True,0.00023333333333333333
281069877,3955EC50-FD45-4F8D-BD25-4064C9567613,C89A34B5-63B3-45F9-9234-17BA37D20CAF,[00G3_K022]Program:EM0542_Foil_Transfer.ALMD_K001CTL_Guard_Open,VISUS3GTHMIS28,740,3,EM0542 Foil Transfer Robot Error: Safety Guard Open,2026-08-28 17:45:22.583,2026-08-28,17:45:22.5840000,2026-08-28 17:45:33.360,2026-08-28,17:45:33.3600000,11,True,0.00018333333333333334
281069878,E4FA9FBC-B9E4-4022-829E-4EBE47F2AD2E,9771B953-0DF5-4EA8-ACFB-BDE98758AE75,[00G3_K022]Program:EM0522_Good_Robot.ALMD_K001CTL_Guard_Open,VISUS3GTHMIS28,740,3,EM0522 Good Robot Error: Safety Guard Open,2026-08-28 17:45:22.530,2026-08-28,17:45:22.5310000,2026-08-28 17:45:33.357,2026-08-28,17:45:33.3570000,11,True,0.00018333333333333334
281069879,169DAB01-1315-4B95-83A0-2EC698532262,E80485FB-BEAB-44F5-AC4F-15F6C3AADA6E,[00G3_K502]Program:EM06G4_Operator_Interface.ALMD_Z05_PBL_Actuated,VISUS3GTHMIS28,740,3,Zone05 ZONE STOP PB,2026-08-28 17:45:14.233,2026-08-28,17:45:14.2330000,2026-08-28 17:45:33.353,2026-08-28,17:45:33.3530000,19,True,0.00031666666666666665
281069880,FA04FFF0-7A20-441F-A6FC-30144ECE2C5A,8FD6DDF3-EEB6-4353-9ECF-9F77D301FC22,[00G3_K042]Program:UN05_Standard.ALMD_05G6_B005GLS,VISUS3GTHMIS28,740,3,Z05 Guard Door Open =05G6_B005GLS,2026-08-28 17:45:23.457,2026-08-28,17:45:23.4550000,2026-08-28 17:45:33.157,2026-08-28,17:45:33.1550000,10,True,0.00016666666666666666
281069881,2CFFF06D-B09F-4BA1-BB4C-D201ECF45337,D71842C4-D38D-48CD-950B-6375563FC761,[00G3_K022]Program:EM05G4_Operator_Interface.ALMD_S001PBL_Actuated,VISUS3GTHMIS28,740,3,EM05G4 S001PBL Zone Stop,2026-08-28 17:45:14.200,2026-08-28,17:45:14.2000000,2026-08-28 17:45:33.077,2026-08-28,17:45:33.0750000,19,True,0.00031666666666666665
281069882,4961801E-33A1-447F-BE08-07B1CFFC2943,56659AEB-C59B-4204-8811-F92B0BE2D3D7,[00G3_K022]Program:EM0528_GB_Outlet.ALMD_B002PS_MRS_Head_Low_Vac,VISUS3GTHMIS28,740,3,EM0528 B002PS MRS Head Vacuum Too Low,2026-08-28 17:45:23.883,2026-08-28,17:45:23.8830000,2026-08-28 17:45:33.057,2026-08-28,17:45:33.0570000,10,True,0.00016666666666666666
281069883,65EC12DD-E699-4C67-953C-89C859D00E44,D88FFCF2-2D40-4295-BC37-176C66CC273E,[00G3_K022]Program:EM0528_GB_Outlet.ALMD_B001PS_MRS_Head_Low_Vac,VISUS3GTHMIS28,740,3,EM0528 B001PS MRS Head Vacuum Too Low,2026-08-28 17:45:23.807,2026-08-28,17:45:23.8070000,2026-08-28 17:45:33.057,2026-08-28,17:45:33.0570000,10,True,0.00016666666666666666
281069884,868756D3-24B7-496A-A96F-6AA5BE78A9E1,B098557A-AC6D-48F1-84B0-F6318CB5B6C7,[00G3_K022]Program:EM0556_Array_Transfer.ALMD_Chuck_Overload3,VISUS3GTHMIS28,740,3,EM0556 Array Jam detect (Chuck Overload) Check B003PRS,2026-08-28 17:46:23.187,2026-08-28,17:46:23.1880000,2026-08-28 17:46:53.767,2026-08-28,17:46:53.7650000,30,True,0.0005
281069885,16B1E4E6-7768-4737-B56B-CE2837BAD830,87299448-3195-470E-A0D7-4D7FADD1E38A,[00G3_K022]Program:EM0542_Foil_Transfer.ALMD_K001CTL_Guard_Open,VISUS3GTHMIS28,740,3,EM0542 Foil Transfer Robot Error: Safety Guard Open,2026-08-28 17:46:41.937,2026-08-28,17:46:41.9350000,2026-08-28 17:46:53.763,2026-08-28,17:46:53.7620000,12,True,0.0002
281069886,48A7CED6-3838-4C3B-AB0A-AB395ECD303D,47F7A274-822F-4D1E-8B94-6A520315AC50,[00G3_K022]Program:EM0522_Good_Robot.ALMD_K001CTL_Guard_Open,VISUS3GTHMIS28,740,3,EM0522 Good Robot Error: Safety Guard Open,2026-08-28 17:46:41.933,2026-08-28,17:46:41.9320000,2026-08-28 17:46:53.757,2026-08-28,17:46:53.7570000,12,True,0.0002
281069887,ED9F0B6A-3B91-42B6-8384-6D8855B9176F,058FD9B2-7E26-4CB6-9B77-6BF79BB08E91,[00G3_K042]Program:UN06_Standard.ALMD_06G6_B501GLS,VISUS3GTHMIS28,740,3,Z06 Guard Door Open =06G6_B501GLS,2026-08-28 17:46:41.307,2026-08-28,17:46:41.3060000,2026-08-28 17:46:53.507,2026-08-28,17:46:53.5060000,12,True,0.0002
